Frame    | Original        | Encoded         | Ratio
-------------------------------------------------------
80       | 39453359.77     | 24868442.39     | 0.6303
81       | 21186409.25     | 92523042.79     | 4.3671
82       | 15372667.59     | 31141185.37     | 2.0258
83       | 51876627.54     | 10206881.40     | 0.1968
84       | 31504250.58     | 9136100.25      | 0.2900
85       | 10441963.37     | 243344.65       | 0.0233
86       | 9179674.38      | 0.00            | 0.0000
87       | 1851643.97      | 0.00            | 0.0000
